This Year,Name,Image,Type,Edible,Description,Location,Sowing month,Indoor seed,Date sown,Outdoor seed,Planting out month,Planting out instruction,Sowing Instructions,Pruning month,Pruning Instructions,Harvest month,Flowering,Preferences,Soil Preference,Care Instructions,Common problems,Good for pollinators,Link to Useful Website,Archived
Yes,Alyssum Carpet of snow,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9302.jpg,Flowers,No,,"Pot - outdoors, Seed pack","April, March, May",No,,Yes,,,"Sow Outdoor In a prepared seed bed in flowering.Sow thinly in rows 15cm apart. Cover with 0.5cm fine soil When large enough thin to 15cm apart
Firm gently and keep moist Seedlings appear 14-28 days",,,,"August, July, June, October, September",,,"Keep moist and weed free.
Trim plants as flowers fade for a second flush of blooms.",,Yes,,No
Yes,Aubergine Alexandra,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7285.jpg,Vegetable,Yes,"Solanum melongena L.
Semi-early eggplant variety. It has oblong, pyriform fruits, dark purple to glossy black, weighing between 200-300 g. Recommended for cultivation in the open field. Vegetation period: 80-90 days, medium early.","Seed pack, Seed tray - indoors",March,Yes,"January 7, 2024",No,May,70-80x40-45 cm,,,,"August, July, September",,,,,,No,,No
No,Aubergine Black Beauty,"Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7291.jpg, Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7292.jpg",Vegetable,Yes,"A heavy cropper, noted for its reliability in the greenhouse and outside in full sun. Sturdy plants produce a heavy crop of pear-shaped fruits with a high sheen to their skins. The large purple-black fruits are ready to crop in as little as 78 days from sowing, providing a constant crop right through to autumn. Germination: 10-14 days (65-70°F) Plant height: 60cm (24in)","Seed pack, Seed tray - indoors","April, February, March",Yes,"January 7, 2024",No,May,"When the seedlings are large enough to handle, carefully transplant them into 7.5cm (3in) pots and grow on at a slightly reduced temperature. When all risk of frost is passed and the soil is warm, harden off and plant in their final positions. For indoor cultivation, pot on into larger containers or plant 2 per growbag. Outdoors, plant in rich fertile soil at a distance of 90cm (3ft) apart, in rows spaced 90-120cm (3-4ft) apart. Planting through black polythene mulch will help to warm the soil, control weeds and save moisture.","Soak seeds in warm water for 24 hours before sowing will assist germination. Sow seeds on the surface of a free-draining, moist seed compost and cover with 6mm (1/4in) layer of vermiculite or compost. Place in a propagator or seal the container inside a polythene bag at constant temperature of 18-21°C (65-70°F) until after germination",,,,,Full sun,Wet,Support plants with canes and remove sideshoots for the best yields. Never allow soils/compost to dry out and feed regularly once the first truss has set.,,No,,No
Yes,Beetroot burpees golden,"Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7341.jpg, Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7342.jpg","Annual, Vegetable",Yes,A mild tasty variety which remains tender. The orange roots turn golden-yellow when cooked and have a wonderful flavour and texture.,Seed pack,"April, July, June, May",No,,Yes,,,"In a prepared seed bed
Sow thinly in rows 30cm apart
Cover with 2.5cm of fine soil
Firm gently and keep moist
Seedlings appear 7-21 days
For continuous crops sow every 2-3
weeks",,,"August, July, June, October, September",,,"Well drained, Wet","When large enough thin to 10cm apart
Keep moist and weed free",,No,,No
Yes,Beetroot Detroit,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9318.jpg,Vegetable,Yes,"Reliable performer
Deep, dark red colour Outstanding beet for over 100 years",Seed pack,"April, July, June, May",No,,No,,,"Sow seeds thinly, about 2cm (1in) apart in pre watered shallow rows, and cover with a little soil. Allow about 30cm (12in) between rows.",,,"August, July, October, September",,,,"Growing Tips
Supplied as multigerm seeds, several plants in one seed. Use thinnings as baby leaf salad. When harvesting beet, twist the tops off the roots rather than cutting them. This prevents bleeding.",,No,,No
Yes,Begonia Cascading mix,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9501_(1).jpg,"Annual, Flowers",No,"Suitable for flower beds, borders, containers on the patio and balcony. Also suitable as a houseplant.",Seed pack,April,No,,Yes,,,"Plant outdoors, hollow part uppermost, when all danger of frost has passed. Keep the soil moist and remove faded flowers. At the end of the season, lift the tubers, cut the stems off just above the tubers and store in a dry soil at 4-10 degrees.",,,,"August, July, November, October, September",,,,,Yes,,No
Yes,Bell Pepper Artim,"Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7333.jpg, Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7334.jpg","Annual, Vegetable",Yes,,"Seed pack, Seed tray - indoors",March,Yes,"January 7, 2024",No,,,"Plante de vigoare medie. Fructele sunt conice, rotunjite la vårf, de culoare galben ceruit, cu coacere in rosu intens
la maturitatea fiziologicä. Potential de productie ridicat.",May,,"August, July, October, September",,Full sun,"Well drained, Wet",,,No,,No
Yes,Bell Pepper Daciana F1,"Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7345.jpg, Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7346.jpg","Annual, Vegetable",Yes,"Blocky bell pepper hybrid with indeterminate growth.
The fruits are large, yellowish-green in color and have weight
average of 140-180 g. Recommended for field or protected space.","Seed pack, Seed tray - indoors",March,Yes,"January 7, 2024",No,May,,,,,"August, July, October, September",,,,,,No,,No
No,Bell Pepper Sweet Californian wonder,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9365.jpg,Vegetable,Yes,"Capsicum annuum
A thick pendula sweet pepper. Great in cooking or raw in
salads. Continuous flowering over a long period.","Seed pack, Seed tray - indoors","April, March",No,"January 7, 2024",No,,"Once all chance of frost has passed the plants can be transplanted into growing beds or patio tubs outside, harden off first.","Indoor Planting:
Sow seeds 5mm deep in pots or trays of moist compost, store in a warm place at an approx. temperature of 18-21°c (65-70°f).",,,July,,"Full sun, Pot",,"These plants do best in very mild conditions, therefore, it would be better to keep them in a greenhouse or indoors.",,No,,No
Yes,Bell Pepper Vlad gogosar,"Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7335.jpg, Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7336.jpg","Annual, Vegetable",Yes,"Perioada de vegetatie: 140-145 zile. Fructe mari,
cu suprafata netedå 5i 4-5 loji seminale. Pulpa
este groasä. Culoare verde tnchis la inceput,
rosie la maturitate. Soi productiv.","Seed pack, Seed tray - indoors",January,Yes,"January 7, 2024",No,May,,,,,"August, October, September",,Full sun,"Well drained, Wet",,,No,,No
Yes,Broad Bean Aquadulce Claudia,"Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7355.jpg, Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7356.jpg","Annual, Vegetable",Yes,,Rear - raised bed,"December, January, November",No,"November 28, 2023",Yes,,,"Sow outdoors, where they are to crop,
5 cm deep, directly into finely-prepared,
well-cultivated, fertile soil, which has already
been watered. To make the best use of space,
sow seeds 23 cm apart, in a wide row
in a zigzag pattern, leaving a space
of 60 cm between each row. Sow a few
extra seeds at the end of the rows to fill
in any gaps produced by seeds that don't germinate-
Seedlings will usually appear after 10 - 18 days.",,,"July, June",,Full sun,"Well drained, Wet",,,No,,No
No,"Broccoli Autumn Calabrese
",Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9275.jpg,Vegetable,Yes,"(Brassica oleracea var. cymosa)
A quick growing variety, producing mild flavoured large green heads. Ideal for freezing.",Seed pack,"April, March, May",Yes,,No,"July, June","              ","Sow seeds 1.5cm deep in trays of moist compost, be careful not to over-water. Store in glass house. Plant out in desired location in June - July.",,,"August, September",,,,,,Yes,,No
Yes,Broccoli CALABRESE Ironman F1 Hybrid,"Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7289.jpg, Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7290.jpg",Vegetable,Yes,"Sow regularly through Feb-June for full-season use Consistent head quality and uniformity
A quick-cropper ready to harvest in as little as 75 days after transplanting. Calabrese Ironman F1 shows good tolerance to hollow stem and resistance to bolting. Suitable for closer spacing for baby head production, or simply because growing space is tight.",Seed pack,"April, June, March, May",Yes,,No,"April, June, May","Choose a sheltered position in firm, rich fertile, well drained soil in full sun. Prepare the soil in early spring by adding plenty of well rotted farmyard manure to the soil to improve its structure and fertility. Take care when transplanting Calabrese as it resents root disturbance. Plant Calabrese at a distance of 45cm x 45cm for full sized hearts, 30cm x 30cm for 'baby' hearts at closer spacing, and cover with a protective netting or fleece to prevent attack from birds and insects. Water the plants thoroughly after planting.",Sow seeds in a well-prepared seed bed from February to June at a depth of 13mm (1/2in) and spaced 30cm (12in) apart. Transplant to their final positions around 5 weeks later when the seedlings have four or five leaves.,,,"August, July, November, October, September",,Full sun,,,,No,,No
Yes,Broccoli clared f1,"Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7287.jpg, Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7288.jpg",Vegetable,Yes,"An extremely vigorous and heavy cropping variety with great tasting large and tender shoots. Plants go on to produce many side shoots, giving a long harvest period.",Seed pack,"April, March, May",Yes,,No,June,When large enough to handle transplant 5cm apart in trays of compost Stand outside for a few days late May (avoid frosts). Transplant in June to final position with 60cm between plants and rows,"Sow thinly, cover with 1.5cm of compost. Firm gently and keep moist Keep at approx. 13°C. Seedlings appear 7-21 days",,,"April, June, March, May",,,,When harvesting Cut shoots when 10-15cm long Pick young shoots regularly to encourage further cropping,,No,,No
